"filename", "language", "Markdown", "JSON", "Python", "pip requirements", "Docker", "comment", "blank", "total"
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Trondheim/2 Semester/TTM4115/project/spec3_komsys/INSTALLATION.md", "Markdown", 15, 0, 0, 0, 0, 0, 7, 22
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Trondheim/2 Semester/TTM4115/project/spec3_komsys/README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 1
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Trondheim/2 Semester/TTM4115/project/spec3_komsys/backend/DEPLOY.ipynb", "JSON", 0, 142, 0, 0, 0, 0, 1, 143
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Trondheim/2 Semester/TTM4115/project/spec3_komsys/backend/DEV-STATUS.md", "Markdown", 14, 0, 0, 0, 0, 0, 4, 18
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Trondheim/2 Semester/TTM4115/project/spec3_komsys/backend/Dockerfile", "Docker", 0, 0, 0, 0, 34, 8, 18, 60
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Trondheim/2 Semester/TTM4115/project/spec3_komsys/backend/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Trondheim/2 Semester/TTM4115/project/spec3_komsys/backend/app/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Trondheim/2 Semester/TTM4115/project/spec3_komsys/backend/app/__main__.py", "Python", 0, 0, 52, 0, 0, 0, 19, 71
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Trondheim/2 Semester/TTM4115/project/spec3_komsys/backend/app/api/http.py", "Python", 0, 0, 68, 0, 0, 0, 22, 90
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Trondheim/2 Semester/TTM4115/project/spec3_komsys/backend/app/api/mqtt.py", "Python", 0, 0, 107, 0, 0, 0, 29, 136
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Trondheim/2 Semester/TTM4115/project/spec3_komsys/backend/app/logic/transaction.py", "Python", 0, 0, 55, 0, 0, 0, 17, 72
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Trondheim/2 Semester/TTM4115/project/spec3_komsys/backend/app/logic/weather.py", "Python", 0, 0, 48, 0, 0, 0, 14, 62
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Trondheim/2 Semester/TTM4115/project/spec3_komsys/backend/app/scooter-status-codes.json", "JSON", 0, 12, 0, 0, 0, 0, 1, 13
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Trondheim/2 Semester/TTM4115/project/spec3_komsys/backend/requirements.txt", "pip requirements", 0, 0, 0, 89, 0, 0, 0, 89
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Trondheim/2 Semester/TTM4115/project/spec3_komsys/e-scooter/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Trondheim/2 Semester/TTM4115/project/spec3_komsys/frontend/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Trondheim/2 Semester/TTM4115/project/spec3_komsys/unlockEscooter.py", "Python", 0, 0, 37, 0, 0, 0, 14, 51
"Total", "-", 30, 154, 367, 89, 34, 8, 150, 832